POU5F1	ENCFF990CFV.bed.gz	ENCFF579RNC.bigWig
PRDM10	ENCFF294HEI.bed.gz	ENCFF251XOX.bigWig
PRMT5	ENCFF379XPD.bed.gz	ENCFF722WAH.bigWig
PTTG1	ENCFF332DRG.bed.gz	ENCFF997ETO.bigWig
PYGO2	ENCFF421VCV.bed.gz	ENCFF056OBU.bigWig
RAD21	ENCFF002CXU.bed.gz	ENCFF000YXZ.bigWig
RBBP5	ENCFF379MPS.bed.gz	ENCFF058KTS.bigWig
RBFOX2	ENCFF120IDE.bed.gz	ENCFF600MKI.bigWig
RCOR1	ENCFF484CKD.bed.gz	ENCFF550TDY.bigWig
RELA	ENCFF580QGA.bed.gz	ENCFF229BST.bigWig
REST	ENCFF558VPP.bed.gz	ENCFF518QUW.bigWig
RFX1	ENCFF010UHD.bed.gz	ENCFF156KTG.bigWig
RFX5	ENCFF716LRI.bed.gz	ENCFF759LQL.bigWig
RLF	ENCFF209HKW.bed.gz	ENCFF373XUB.bigWig
RNF2	ENCFF644WLI.bed.gz	ENCFF320VKN.bigWig
RUNX1	ENCFF422BXE.bed.gz	ENCFF962DJQ.bigWig
SAFB	ENCFF478MPX.bed.gz	ENCFF163TQK.bigWig
SAP30	ENCFF718NUA.bed.gz	ENCFF816KCQ.bigWig
SETDB1	ENCFF294EHN.bed.gz	ENCFF417WRG.bigWig
SFPQ	ENCFF757ODD.bed.gz	ENCFF177THB.bigWig
SIN3A	ENCFF191MPD.bed.gz	ENCFF783JQV.bigWig
SIN3B	ENCFF280GTU.bed.gz	ENCFF036PQP.bigWig
SIRT6	ENCFF671JEN.bed.gz	ENCFF430LQG.bigWig
SIX5	ENCFF033EBX.bed.gz	ENCFF925ZXV.bigWig
SKIL	ENCFF481WGW.bed.gz	ENCFF770SFT.bigWig
SMAD1	ENCFF315YAF.bed.gz	ENCFF434JPE.bigWig
SMAD2	ENCFF011KRN.bed.gz	ENCFF217SDS.bigWig
SMAD5	ENCFF178MOP.bed.gz	ENCFF235RTU.bigWig
SMARCA4 	ENCFF883TOD.bed.gz	ENCFF748JPG.bigWig
SMARCA5	ENCFF995NIE.bed.gz	ENCFF847GKQ.bigWig
SMARCB1	ENCFF944GJH.bed.gz	ENCFF800FII.bigWig
SMARCC2	ENCFF114PTZ.bed.gz	ENCFF810GGD.bigWig
SMARCE1	ENCFF622RBW.bed.gz	ENCFF348YUO.bigWig
SMC3	ENCFF041YQC.bed.gz	ENCFF479BWQ.bigWig
SOX6	ENCFF241TBP.bed.gz	ENCFF757HAQ.bigWig
SP1	ENCFF300XUA.bed.gz	ENCFF591WIF.bigWig
SPI1	ENCFF664XPS.bed.gz	ENCFF922QGE.bigWig
SREBF1	ENCFF985TSH.bed.gz	ENCFF111BSU.bigWig
STAT5A	ENCFF696KPD.bed.gz	ENCFF832FFP.bigWig
SUZ12	ENCFF966MVC.bed.gz	ENCFF363DWX.bigWig
TAF1	ENCFF822FWM.bed.gz	ENCFF488POX.bigWig
